Ayesha, a medical researcher, faces a moral dilemma.;Ayesha has access to a new administrative software that could significantly speed up the approval process of various medical treatments. However, the software has known security vulnerabilities.;Good: Accelerated approval of various treatments.;Harm (Side Effect): Leaking of sensitive patient data.;The hospital's IT department would integrate the vulnerable software into the system during the next update, causing the leaking of sensitive patient data, no matter what Ayesha does.;Ayesha does not prevent the use of the new administrative software;Do you think that the action that Ayesha took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Ayesha intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Major Sarah, a military strategist, faces a moral dilemma.;Major Sarah has a plan to deploy a computer virus to disable the enemy's weapons systems. However, the virus will also shut down civilian power grids.;Good: The enemy's weapons systems get disabled.;Harm (Side Effect): Civilian power grids are shut down.;A solar flare would cause civilian power grids to shut down, no matter what Major Sarah does.;Major Sarah does not prevent the virus deployment;Do you think that the action that Major Sarah took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Major Sarah intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Elena, a wildlife conservationist, faces a moral dilemma.;Elena has access to grant funding that would allow her to build observation towers for studying wildlife. However, the construction will damage the natural habitat.;Good: Building observation towers for wildlife research.;Harm (Side Effect): Damaging the natural habitat.;An entertainment company building a tourist attraction would cause damage to the natural habitat, no matter what Elena does.;Elena does not prevent the construction of the observation towers;Do you think that the action that Elena took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Elena intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Quentin, a kindergarten teacher, faces a moral dilemma.;Quentin introduces a new educational program that greatly improves the children's learning experience. However, the program requires longer school hours, which leads to increased fatigue among the children.;Good: Improved learning experience for the children.;Harm (Side Effect): Increased fatigue among the children.;The school board would mandate an increase in school hours for all kindergartens, causing increased fatigue among the children, no matter what Quentin does.;Quentin does not prevent the implementation of the new educational program;Do you think that the action that Quentin took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Quentin intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Alice, a rocket scientist, faces a moral dilemma.;Alice develops a new, more efficient rocket engine that has the potential to revolutionize space travel. However, the production of the engine results in a significant amount of pollution.;Good: Revolutionizing space travel with a more efficient rocket engine.;Harm (Side Effect): Causing significant pollution during the engine's production.;A competing company building the rocket engine would cause significant pollution during the engine's production, no matter what Alice does.;Alice does not prevent the creation of the new rocket engine;Do you think that the action that Alice took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Alice intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Arnold, a yoga instructor, faces a moral dilemma.;Arnold starts teaching yoga classes in a public park to make yoga accessible to everyone. However, the increased foot traffic in the park damages the grass and plants.;Good: Making yoga accessible to everyone.;Harm (Side Effect): Damage to the grass and plants in the park.;The fringe festival would take place in the park next month, causing damage to the grass and plants, no matter what Arnold does.;Arnold does not prevent teaching yoga classes in the public park;Do you think that the action that Arnold took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Arnold intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Jake, an urban planner, faces a moral dilemma.;Jake has the opportunity to implement a new public transportation system that would reduce traffic congestion and pollution. However, the construction of the new system will temporarily disrupt local businesses and residents.;Good: Reduced traffic congestion and pollution.;Harm (Side Effect): Temporary disruption to local businesses and residents.;A major road construction project would cause temporary disruption to local businesses and residents, no matter what Jake does.;Jake does not prevent the implementation of the new public transportation system;Do you think that the action that Jake took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Jake intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Sam, a kite designer, faces a moral dilemma.;Sam has developed a new kite design that can fly higher and more stable, making it perfect for aerial photography. However, the design also poses a risk of getting entangled in power lines.;Good: Improved aerial photography capabilities.;Harm (Side Effect): Increased risk of entanglement in power lines.;A kite enthusiast would modify an existing kite design, increasing the risk of entanglement in power lines, no matter what Sam does.;Sam does not prevent the production of the new kite design;Do you think that the action that Sam took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Sam intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Zara, a quantum physicist, faces a moral dilemma.;Zara has developed an advanced quantum computer that can solve complex problems in seconds. However, the quantum computer generates an immense amount of heat, which could contribute to global warming.;Good: Solving complex problems quickly.;Harm (Side Effect): Contribution to global warming.;A large data center would be built nearby, generating heat and contributing to global warming, no matter what Zara does.;Zara does not prevent the use of the advanced quantum computer;Do you think that the action that Zara took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Zara intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
Felicia, an event planner, faces a moral dilemma.;Felicia plans a large outdoor concert to bring the community together and boost local businesses. However, the concert generates excessive noise, disturbing the peace in the neighborhood.;Good: Strengthening community ties and supporting local businesses.;Harm (Side Effect): Disturbing the peace in the neighborhood.;A different event planner would cause the disturbance of the peace in the neighborhood, no matter what Felicia does.;Felicia does not prevent the organization of the large outdoor concert;Do you think that the action that Felicia took is morally permissible? Rate from 0 to 10 (0 = not at all, 10 = completely).;Do you think that Felicia intended for the harmful outcome to occur? Rate from 0 to 10 (0 = not at all, 10 = completely).
